0,20
20,20
40,20
60,20
80,20
100,20
120,20
140,20
160,20
180,20
200,20
220,20
240,20
260,20
280,20
300,20
320,20
340,20
360,20
380,20
400,20
420,20
440,20
460,20
480,20
500,20
520,20
540,20
560,20
580,20
600,20
620,20
640,20
60,40
320,40
480,40
540,40
600,40
20,60
40,60
40,260
40,460
60,60
100,60
120,60
140,60
160,60
180,60
200,60
220,60
240,60
260,60
280,60
320,60
360,60
380,60
400,60
420,60
440,60
480,60
520,60
540,60
600,60
640,60
20,80
60,80
180,80
280,80
320,80
340,80
360,80
480,80
540,80
600,80
640,80
20,100
20,120
20,140
20,160
20,180
20,200
20,220
20,240
20,260
20,280
20,300
20,320
20,340
20,360
20,380
20,400
20,420
20,440
20,460
60,80
60,100
60,120
60,140
60,160
60,180
60,200
60,220
60,260
60,300
60,320
60,340
60,360
60,380
60,400
60,420
60,440
60,460
100,100
120,100
140,100
160,100
180,100
200,100
220,100
240,100
260,100
280,100
300,100
320,100
360,100
380,100
400,100
420,100
440,100
460,100
480,100
500,100
600,100
640,100
100,120
540,120
600,120
100,140
140,140
160,140
180,140
200,140
220,140
240,140
260,140
280,140
320,140
340,140
360,140
380,140
400,140
420,140
440,140
460,140
480,140
500,140
520,140
540,140
600,140
640,140
100,160
140,160
280,160
320,160
540,160
600,160
640,160
100,180
140,180
180,180
200,180
220,180
240,180
280,180
300,180
320,180
360,180
380,180
400,180
420,180
440,180
460,180
480,180
500,180
540,180
600,180
640,180
140,200
240,200
280,200
320,200
360,200
460,200
500,200
520,200
540,200
600,200
640,200
80,220
100,220
120,220
140,220
160,220
180,220
200,220
220,220
240,220
280,220
320,220
360,220
400,220
420,220
460,220
500,220
600,220
640,220
120,240
280,240
360,240
400,240
420,240
460,240
500,240
540,240
560,240
580,240
600,240
640,240
80,260
100,260
120,260
140,260
160,260
180,260
200,260
220,260
240,260
280,260
360,260
440,260
460,260
540,260
640,260
240,280
280,280
360,280
380,280
400,280
460,280
500,280
540,280
560,280
580,280
600,280
620,280
640,280
80,300
100,300
120,300
140,300
160,300
180,300
200,300
220,300
240,300
280,300
360,300
400,300
460,300
500,300
620,300
160,320
280,320
360,320
400,320
460,320
500,320
520,320
540,320
560,320
580,320
620,320
100,340
120,340
140,340
160,340
180,340
200,340
220,340
240,340
280,340
360,340
400,340
460,340
580,340
620,340
280,360
300,360
320,360
340,360
360,360
400,360
460,360
480,360
500,360
520,360
540,360
580,360
620,360
100,380
140,380
160,380
180,380
200,380
220,380
240,380
260,380
280,380
400,380
540,380
580,380
620,380
640,380
100,400
140,400
280,400
360,400
400,400
440,400
460,400
480,400
540,400
580,400
620,400
640,400
100,420
140,420
240,420
260,420
280,420
300,420
360,420
400,420
440,420
480,420
540,420
580,420
600,420
620,420
640,420
100,440
200,440
220,440
240,440
360,440
400,440
480,440
540,440
100,460
120,460
140,460
200,460
220,460
240,460
360,460
380,460
400,460
420,460
440,460
460,460
480,460
500,460
540,460
560,460
580,460
600,460
620,460
640,460
660,460




























































































































